"category";"equip_name";"cost";"serial_number";"under_warrenty";"functionality";"status";"state";"district";"facility";"department";"manufacturer";"model";"price";"installation_date";"return_date";"borrow_date";"cluster"
"Diagnostic/Monitoring";"Digital Weighing Machine";3000000;"PX76qzA";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Pragati Medical System";"Pragati Weight";5800;"14/2/20";"";"";1
"Laboratory";"Bacteriological Incubator";25000000;"UD05sdT";"No";"Not in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"Spectrum";"INCUBATOR PLUS";0;"2/11/13";"";"";2
"Laboratory";"Boyles Apparatus";350000000;"DR06hpF";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-OT";"Life-line";"BOYLE Basic";0;"3/11/17";"";"";1
"Laboratory";"Boyles Apparatus";350000000;"NU23pdQ";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-OT";"Allied";"JUPITER200";93240;"28/3/20";"";"";2
"Laboratory";"Centrifuse Machine";6500000;"BP87hxD";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"Remi Motors";"c-854/8";0;"3/11/11";"";"";2
"Laboratory";"Centrifuse Machine";6500000;"XP07txT";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"Remi Motors";"c-854/8";0;"3/11/11";"";"";1
"Laboratory";"Centrifuse Machine";6500000;"HX59myS";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"Remi Motors";"c-854/8";0;"3/11/11";"";"";2
"Laboratory";"Centrifuse Machine";6500000;"PL65weA";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Blood Bank";"RANA";"CENTRIFUSE001";0;"3/11/13";"";"";1
"Diagnostic/Monitoring";"Defibrillator";200000000;"UE70wuK";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";"Physio Control";"Lifepak-20e";367500;"26/11/21";"";"";2
"Diagnostic/Monitoring";"ECG Machine";52000000;"KT79pjV";"Yes";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";"Mortara";"ELI250C";119910;"9/6/21";"";"";1
"Laboratory";"Elisa Reader";100000000;"MR94okG";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Blood Bank";"LAB SYSTEMS";"multiscan EX";0;"4/11/11";"";"";1
"Laboratory";"Elisha Washer";100000000;"EY80bdK";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Blood Bank";"LAB SYSTEMS";"WELL WASH 4MK2";0;"4/11/11";"";"";2
"Laboratory";"Elisha Washer";100000000;"PM97mwE";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"MERILYSER";"EIAWASH";0;"7/6/22";"";"";2
"Diagnostic/Monitoring";"Glucometer";1500000;"NH78wxO";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";"Aspen Diagnostics Pvt Ltd";"Glucometer";2429;"11/2/21";"";"";1
"Diagnostic/Monitoring";"Glucometer";1500000;"ER20xiG";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";"Aspen Diagnostics Pvt Ltd";"Glucometer";2429;"11/2/21";"";"";1
"Diagnostic/Monitoring";"Incubator";25000000;"IJ68aeJ";"No";"Not in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Blood Bank";" SECA";"Incubator";0;"4/11/11";"";"";0
"Laboratory";"Microscope";30000000;"EV45pzV";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"M/s Labovision India";"KXi 2000";0;"2/11/16";"";"";2
"Laboratory";"Microscope";30000000;"DL41utM";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Blood Bank";"FOCUS";"MICROSOPE";0;"3/11/17";"";"";1
"Laboratory";"Microscope";30000000;"VD73quW";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"Olympus";"MAGNUS MLX DX";0;"2/11/17";"";"";1
"Diagnostic/Monitoring";"Multipara Monitor";65000000;"PB43lsG";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-OT";"L and T  Medical Equipment and systems";"STAR 50";133612;"5/12/20";"";"";2
"Respiratory";"Oxygen Concentrator";45000000;"XJ43hiI";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Aspen Diagnostics Pvt Ltd";"OC2 PLUS";43500;"16/1/20";"";"";1
"Respiratory";"Oxygen Concentrator";45000000;"CJ59ahH";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Labour Room";"Nidek";"NUVO";0;"21/11/17";"";"";1
"Respiratory";"Oxygen Concentrator";45000000;"FK96ooF";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Aspen Diagnostics Pvt Ltd";"OC2 PLUS";43500;"16/1/20";"";"";1
"Respiratory";"Oxygen Concentrator";45000000;"ZR31joF";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Aspen Diagnostics Pvt Ltd";"OC2 PLUS";43500;"16/1/20";"";"";2
"Respiratory";"Oxygen Concentrator";45000000;"WS80opQ";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Aspen Diagnostics Pvt Ltd";"OC2 PLUS";43500;"16/1/20";"";"";1
"Respiratory";"Oxygen Concentrator";45000000;"OA31pwF";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Aspen Diagnostics Pvt Ltd";"OC2 PLUS";43500;"16/1/20";"";"";2
"Respiratory";"Oxygen Concentrator";45000000;"IR58frI";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Aspen Diagnostics Pvt Ltd";"OC2 PLUS";43500;"16/1/20";"";"";2
"Respiratory";"Oxygen Concentrator";45000000;"MX48zhJ";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Aspen Diagnostics Pvt Ltd";"OC2 PLUS";43500;"16/1/20";"";"";1
"Respiratory";"Oxygen Concentrator";45000000;"HW79kiV";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Aspen Diagnostics Pvt Ltd";"OC2 PLUS";43500;"16/1/20";"";"";2
"Respiratory";"Portable Ventiliator";60000000;"NJ85ggK";"Yes";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";"Newport GB";"HT70";408700;"28/3/22";"";"";2
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"SM04qfF";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";" Masimo";"Radical 7";62100;"23/3/20";"";"";2
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"DD24mcZ";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";" Masimo";"Radical 7";62100;"23/3/20";"";"";1
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"KK99meB";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";" Masimo";"Radical 7";62100;"23/3/20";"";"";1
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"RA59rhH";"Yes";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";" Masimo";"Radical 7";62100;"9/6/21";"";"";2
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"DN16qrC";"Yes";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";" Masimo";"Radical 7";62100;"9/6/21";"";"";2
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"RB37dbP";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";" Masimo";"Radical 7";62100;"23/3/20";"";"";1
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"YX60gnK";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";" Masimo";"Radical 7";62100;"23/3/20";"";"";2
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"JZ60iqM";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";" Masimo";"Radical 7";62100;"23/3/20";"";"";2
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"JF82qyV";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";" Masimo";"Radical 7";62100;"23/3/20";"";"";2
"Diagnostic/Monitoring";"Pulse Oximeter";45000000;"PG80vmM";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";" Masimo";"Radical 7";62100;"23/3/20";"";"";1
"Laboratory";"QBC Machine";6500000;"PV59sbH";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"QBC Auto Read Plus";"424740";0;"2/11/16";"";"";2
"Laboratory";"QBC Microscope";30000000;"SX56ppW";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";" Magnus";"MLXi";0;"3/11/15";"";"";2
"Laboratory";"Semi Auto Analyser";125000000;"WY62vuH";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"M/s Robonik India Pvt Ltd";"Prietest";138602;"29/5/20";"";"";1
"Laboratory";"Semi Auto Analyser";125000000;"ZO15ywI";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Pathology";"M/s Robonik India Pvt Ltd";"Prietest";32003;"18/12/20";"";"";1
"Respiratory";"Suction machine";6500000;"GS78reR";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-OT";"Anand Surgical Industries";"instavac";11500;"14/4/20";"";"";1
"Respiratory";"Suction machine";6500000;"SD65hsA";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-OT";"Anand Surgical Industries";"instavac";11500;"14/4/20";"";"";1
"Respiratory";"Suction machine";6500000;"IK06dgH";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-PPC";"Instavac";"premium";0;"4/11/15";"";"";2
"Respiratory";"Suction machine";6500000;"SF80vnN";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";"Anand Surgical Industries";"HI - VAC";0;"21/6/21";"";"";2
"Respiratory";"Suction machine";6500000;"LR52wdB";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-PPC";"Instavac";"premium";0;"4/11/15";"";"";1
"Respiratory";"Suction machine";6500000;"NC91moR";"No";"Not in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Labour Room";"Anand Surgical Industries";"HI - VAC";0;"21/11/13";"";"";1
"Respiratory";"Suction machine";6500000;"DM27etJ";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Labour Room";"Instavac";"premium";11500;"14/4/20";"";"";2
"Respiratory";"Suction machine";6500000;"HM39zbU";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Anand Surgical Industries";"7-B";2782;"23/3/20";"";"";2
"Respiratory";"Suction machine";6500000;"OW68evD";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-OT";"Anand Surgical Industries";"7-B";2782;"23/3/20";"";"";1
"Respiratory";"Suction machine";6500000;"SH84igX";"No";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-SNCU";"Anand Surgical Industries";"7-B";2782;"23/3/20";"";"";1
"Diagnostic/Monitoring";"Ultrasound Machine";850000000;"CX40dbS";"Yes";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-Radiology";"Bluestar Limited";"Mus702";0;"1/2/21";"";"";3
"Respiratory";"Ventilator";1100000000;"QD66ogI";"Yes";"Active/in use";"Not Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";"Neumovent";"Graphnet Advance";0;"26/11/21";"";"";3
"Respiratory";"Ventilator";1100000000;"LE52zcJ";"Yes";"Active/in use";"Available";"Odisha";"Bargah";"Bargarh DHH";"Bargarh DHH-ICU";"Neumovent";"Graphnet Advance";0;"26/11/21";"";"";3
"Diagnostic/Monitoring";"Digital Weighing Machine";3000000;"TL79pvF";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Labour Room";"Neocare";"Baby weighting machine";18096;"31/1/20";"";"";2
"Diagnostic/Monitoring";"Digital Weighing Machine";3000000;"DJ13noZ";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - OT";"KOHINOOR";"Baby Machine";0;"24/11/18";"";"";2
"Laboratory";"Boyles Apparatus";350000000;"EO25ngC";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - OT";"Allied";"JUPITER200";0;"25/2/21";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"CG28atN";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";"Life-line";"BP Instrument";0;"24/11/17";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"GC56bsR";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - OT";"Others";"BP Instrument";0;"24/11/17";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"YH15wjQ";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - OT";"Others";"BP Instrument";0;"24/11/17";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"QT36faT";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";"Life Line care";"BP instrument.";0;"24/11/17";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"UI96ekH";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";"Life Line care";"BP instrument.";0;"24/11/17";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"DU75ruG";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";"Life Line care";"BP instrument.";0;"24/11/17";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"LI62jpQ";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";"Life-line";"BP Instrument";0;"24/11/17";"";"";2
"Laboratory";"Centrifuse Machine";6500000;"UE30gnJ";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Pathology";"Remi Elektrotechnik Limited";"C-852";0;"24/11/18";"";"";2
"Laboratory";"Centrifuse Machine";6500000;"GF40uvL";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";"Remi Elektrotechnik Limited";"R8C";0;"28/11/15";"";"";1
"Laboratory";"Colorimeter";3500000;"GI78ebM";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Pathology";"EI";"Colorimeter";0;"26/11/12";"";"";1
"Laboratory";"Elisa Reader";100000000;"UE02ajX";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";"Thermofisher Scientific";"multiscan EX";0;"27/1/20";"";"";2
"Laboratory";"Elisha Washer";100000000;"RF63bsV";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";"BioRad";"PW60";0;"9/1/20";"";"";1
"Diagnostic/Monitoring";"Fetal Doppler";5000000;"DD09wuO";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Labour Room";"Dr Morepen";"foetal doppler-01";0;"24/11/20";"";"";1
"Laboratory";"Hot Air Oven";25000000;"HE28xcA";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";" Unilab";"oven";0;"29/9/15";"";"";1
"Diagnostic/Monitoring";"Incubator";25000000;"ZF54dnK";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";" Unilab";"BH-177";0;"23/9/15";"";"";1
"Laboratory";"Microscope";30000000;"AI86veX";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Blood Bank";"LAFCO";"microscope";0;"25/2/17";"";"";2
"Laboratory";"Microscope";30000000;"ZW74vnX";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Pathology";"Eglass Germany";"KXi2000";0;"26/11/13";"";"";1
"Laboratory";"Microscope";30000000;"PZ22mfR";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Pathology";"Nikon";"YS100";0;"27/11/17";"";"";2
"Diagnostic/Monitoring";"Multipara Monitor";65000000;"CL13etF";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - OT";"L and T  Medical Equipment and systems";"STAR 50";0;"26/11/16";"";"";2
"Respiratory";"Oxygen Concentrator";45000000;"BT72idR";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Labour Room";"Nidek";"NUVO";49608;"10/3/17";"";"";1
"Respiratory";"Oxygen Concentrator";45000000;"AV63njT";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - OT";"Aspen Diagnostics Pvt Ltd";"OC2 PLUS";45675;"30/1/20";"";"";2
"Respiratory";"Oxygen Concentrator";45000000;"TO65nhD";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - NBSU";"M/s BPL limited";"OG4203";49920;"15/1/18";"";"";2
"Laboratory";"QBC Machine";300000000;"KW09rzT";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Pathology";"QBC Auto Read Plus";"425740";0;"24/11/18";"";"";2
"Laboratory";"QBC Microscope";300000000;"NY96zkC";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Pathology";" Magnus";"MLXi";0;"24/11/18";"";"";2
"Respiratory";"Suction machine";6500000;"ML03cbS";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Labour Room";"Vikrant Industries";"Santhusti.";0;"25/11/13";"";"";2
"Respiratory";"Suction machine";6500000;"EJ12cjH";"No";"Active/in use";"Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - OT";"Life X";"SUCTION";0;"28/11/17";"";"";1
"Respiratory";"Suction machine";6500000;"YZ38jyY";"No";"Active/in use";"Not Available";"Odisha";"Bargah";"Padampur SDH";"Padampur SDH - Labour Room";"Anand Surgical Industries";"7-B";0;"26/11/19";"";"";2
"Diagnostic/Monitoring";"Digital Weighing Machine";5000000;"TI35zaK";"No";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABOUR ROOM(BOUDH)";"Phoenix Medical Systems Pvt Ltd";"NBY20.";0;"8/6/15";"";"";2
"Laboratory";"Bacteriological Incubator";30000000;"CN31tnZ";"No";"Not in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Yorco";"YSI-438";38000;"6/10/11";"";"";0
"Laboratory";"Bacteriological Incubator";30000000;"QW14sdW";"No";"Not in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Yorco";"YSI-438";38000;"6/10/11";"";"";0
"Laboratory";"Billirubino Meter";5000000;"OD75noN";"Yes";"Active/in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"Paediatrics";"Drager Medical";"JM-103";224914;"14/1/21";"";"";1
"Laboratory";"Binocular Microscope";29788732;"OP45gkM";"No";"Not in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Adelta Optec";"DN10";6915;"9/11/11";"";"";0
"Laboratory";"Binocular Microscope";29788732;"MW14mjI";"No";"Not in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Unilab";"Binacular Microscope";0;"12/10/21";"";"";2
"Laboratory";"Binocular Microscope";29788732;"NO53dvS";"Yes";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"M/s Labovision India";"KXi2000.";0;"4/2/20";"";"";2
"Laboratory";"Binocular Microscope";29788732;"DS75mdZ";"No";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Adelta Optec";"DN10";6915;"9/11/11";"";"";2
"Laboratory";"Binocular Microscope";29788732;"QG11dyM";"No";"Not in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Adelta Optec";"DN10";6915;"9/11/11";"";"";0
"Laboratory";"Binocular Microscope";29788732;"PX77ksK";"No";"Not in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Adelta Optec";"DN10";6915;"9/11/11";"";"";0
"Laboratory";"Boyles Apparatus";85000000;"UN79snC";"Yes";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"OT(BOUDH)";"Allied";"JUPITER200";93834;"17/7/20";"";"";2
"Diagnostic/Monitoring";"BP Machine";2500000;"OG43ytQ";"Yes";"Active/in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"BLOODBANK(BOUDH)";"Elico";"BP Instrument";1890;"7/3/20";"";"";1
"Laboratory";"Centrifuse Machine";15000000;"QZ56kvE";"No";"Active/in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Remi Elektrotechnik Limited";"RM1210";9200;"9/11/11";"";"";1
"Laboratory";"Centrifuse Machine";15000000;"VP36zuI";"No";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Remi Elektrotechnik Limited";"Centrifuse";6254;"9/11/11";"";"";2
"Laboratory";"Centrifuse Machine";15000000;"YC14ucT";"No";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Remi Elektrotechnik Limited";"Centrifuse";6254;"9/11/11";"";"";2
"Laboratory";"Centrifuse Machine";15000000;"SI22lpD";"No";"Active/in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"LABORATORY(BOUDH)";"Remi Elektrotechnik Limited";"R8CBL";0;"9/4/15";"";"";1
"Laboratory";"Centrifuse Machine";45000000;"QV94fgU";"No";"Not in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"BLOODBANK(BOUDH)";"Remi Elektrotechnik Limited";"4Tube";26500;"10/1/96";"";"";0
"Laboratory";"Centrifuse Machine";45000000;"UD92lcN";"Yes";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"BLOODBANK(BOUDH)";"Remi Elektrotechnik Limited";"4Tube";26500;"24/1/20";"";"";2
"Laboratory";"Colorimeter";5000000;"GS52yaC";"No";"Not in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"STORE(BOUDH)";"M/s Merck Limited India";"Eazylab";27900;"16/9/11";"";"";0
"Diagnostic/Monitoring";"Digital Weighing Machine";5000000;"QC13clJ";"Yes";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"PAEDIATRICS(BOUDH)";"Phoenix Medical Systems Pvt Ltd";"NBY20";0;"28/1/21";"";"";2
"Diagnostic/Monitoring";"ECG Machine";60000000;"AB68wfR";"No";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"ENT(BOUDH)";"Maestros";"magicR";11700;"8/9/11";"";"";2
"Diagnostic/Monitoring";"ECG Machine";60000000;"BT60amT";"No";"Active/in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"ENT(BOUDH)";"Maestros";"magicR";11700;"8/9/11";"";"";1
"Diagnostic/Monitoring";"ECG Machine";60000000;"CT96eoS";"Yes";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"PAEDIATRICS(BOUDH)";"M/s BPL limited";"Cardiart 6208";52060;"19/1/21";"";"";2
"Diagnostic/Monitoring";"ECG Machine";5000000;"KC54udB";"Yes";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"PAEDIATRICS(BOUDH)";"Track Manufacturing Co Pvt Ltd";"Electrical Instrument Sterilize";2700;"16/3/20";"";"";2
"Diagnostic/Monitoring";"ECG Machine";5000000;"KW34znD";"No";"Not in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"OT(BOUDH)";"Track Manufacturing Co Pvt Ltd";"Electrical Instrument Sterilize";0;"10/6/11";"";"";0
"Diagnostic/Monitoring";"ECG Machine";5000000;"UT12lwI";"No";"Not in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"OT(BOUDH)";"Track Manufacturing Co Pvt Ltd";"Electrical Instrument Sterilize";0;"10/6/11";"";"";0
"Laboratory";"Elisha Washer";75000000;"MF17evA";"No";"Active/in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"BLOODBANK(BOUDH)";"BioRad";"elisa washer";0;"20/11/19";"";"";1
"Laboratory";"Elisa Reader";75000000;"KM40rsB";"No";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"BLOODBANK(BOUDH)";"Thermo Fisher";"Multiscan 51118179";0;"20/11/19";"";"";2
"Laboratory";"Hot Air Oven";20000000;"WZ00yvY";"No";"Active/in use";"Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"OPTHALMOLOGY(BOUDH)";"swastik India";"Hot Air Oven.";0;"31/3/15";"";"";1
"Laboratory";"Hot Air Oven";20000000;"YM98uuU";"No";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"OT(BOUDH)";"PL TONDEN AND CO DELHI";"Hot Air Oven";20300;"11/9/12";"";"";2
"Diagnostic/Monitoring";"Incubator";20000000;"YF20dbJ";"Yes";"Active/in use";"Not Available";"Odisha";"Boudh(Boudha)";"Boudh-DHH";"BLOODBANK(BOUDH)";"Unilab";"incubator.";6000;"19/2/20";"";"";2
